Date,Population,Region
2020-10-29,0,north west
2020-10-29,0,north central
2020-10-29,0,north east
2020-10-29,0,saskatoon
2020-10-29,0,central west
2020-10-29,0,central east
2020-10-29,0,regina
2020-10-29,0,south west
2020-10-29,0,south central
2020-10-29,0,south east
2020-10-30,0,far north west
2020-10-30,0,far north central
2020-10-30,0,far north east
2020-10-30,0,north west
2020-10-30,0,north central
2020-10-30,0,north east
2020-10-30,0,saskatoon
2020-10-30,0,central west
2020-10-30,0,central east
2020-10-30,0,regina
2020-10-30,0,south west
2020-10-30,0,south central
2020-10-30,0,south east
2020-10-31,0,far north west
2020-10-31,0,far north central
2020-10-31,0,far north east
2020-10-31,0,north west
2020-10-31,0,north central
2020-10-31,0,north east
2020-10-31,0,saskatoon
2020-10-31,0,central west
2020-10-31,0,central east
2020-10-31,0,regina
2020-10-31,0,south west
2020-10-31,0,south central
2020-10-31,0,south east
2020-11-01,0,far north west
2020-11-01,0,far north central
2020-11-01,0,far north east
2020-11-01,0,north west
2020-11-01,0,north central
2020-11-01,0,north east
2020-11-01,0,saskatoon
2020-11-01,0,central west
2020-11-01,0,central east
2020-11-01,0,regina
2020-11-01,0,south west
2020-11-01,0,south central
2020-11-01,0,south east
2020-11-02,0,far north west
2020-11-02,0,far north central
2020-11-02,0,far north east
2020-11-02,0,north west
2020-11-02,0,north central
2020-11-02,0,north east
2020-11-02,0,saskatoon
2020-11-02,0,central west
2020-11-02,0,central east
2020-11-02,0,regina
2020-11-02,0,south west
2020-11-02,0,south central
2020-11-02,0,south east
2020-11-03,0,far north west
2020-11-03,0,far north central
2020-11-03,0,far north east
2020-11-03,0,north west
2020-11-03,0,north central
2020-11-03,0,north east
2020-11-03,0,saskatoon
2020-11-03,0,central west
2020-11-03,0,central east
2020-11-03,0,regina
2020-11-03,0,south west
2020-11-03,0,south central
2020-11-03,0,south east
2020-11-04,0,far north west
2020-11-04,0,far north central
2020-11-04,0,far north east
2020-11-04,0,north west
2020-11-04,0,north central
2020-11-04,0,north east
2020-11-04,0,saskatoon
2020-11-04,0,central west
2020-11-04,0,central east
2020-11-04,0,regina
2020-11-04,0,south west
2020-11-04,0,south central
2020-11-04,0,south east
2020-11-05,0,far north west
2020-11-05,0,far north central
2020-11-05,0,far north east
2020-11-05,0,north west
2020-11-05,0,north central
2020-11-05,0,north east
2020-11-05,0,saskatoon
2020-11-05,0,central west
2020-11-05,0,central east
2020-11-05,0,regina
2020-11-05,0,south west
2020-11-05,0,south central
2020-11-05,0,south east
2020-11-06,0,far north west
2020-11-06,0,far north central
2020-11-06,0,far north east
2020-11-06,0,north west
2020-11-06,0,north central
2020-11-06,0,north east
2020-11-06,0,saskatoon
2020-11-06,0,central west
2020-11-06,0,central east
2020-11-06,0,regina
2020-11-06,0,south west
2020-11-06,0,south central
2020-11-06,0,south east
2020-11-07,0,far north west
2020-11-07,0,far north central
2020-11-07,0,far north east
2020-11-07,0,north west
2020-11-07,0,north central
2020-11-07,0,north east
2020-11-07,0,saskatoon
2020-11-07,0,central west
2020-11-07,0,central east
2020-11-07,0,regina
2020-11-07,0,south west
2020-11-07,0,south central
2020-11-07,0,south east
2020-11-08,0,far north west
2020-11-08,0,far north central
2020-11-08,0,far north east
2020-11-08,0,north west
2020-11-08,0,north central
2020-11-08,0,north east
2020-11-08,0,saskatoon
2020-11-08,0,central west
2020-11-08,0,central east
2020-11-08,0,regina
2020-11-08,0,south west
2020-11-08,0,south central
2020-11-08,0,south east
2020-11-09,0,far north west
2020-11-09,0,far north central
2020-11-09,0,far north east
2020-11-09,0,north west
2020-11-09,0,north central
2020-11-09,0,north east
2020-11-09,0,saskatoon
2020-11-09,0,central west
2020-11-09,0,central east
2020-11-09,0,regina
2020-11-09,0,south west
2020-11-09,0,south central
2020-11-09,0,south east
2020-11-10,0,far north west
2020-11-10,0,far north central
2020-11-10,0,far north east
2020-11-10,0,north west
2020-11-10,0,north central
2020-11-10,0,north east
2020-11-10,0,saskatoon
2020-11-10,0,central west
2020-11-10,0,central east
2020-11-10,0,regina
2020-11-10,0,south west
2020-11-10,0,south central
2020-11-10,0,south east
2020-11-11,0,far north west
2020-11-11,0,far north central
2020-11-11,0,far north east
2020-11-11,0,north west
2020-11-11,0,north central
2020-11-11,0,north east
2020-11-11,0,saskatoon
2020-11-11,0,central west
2020-11-11,0,central east
2020-11-11,0,regina
2020-11-11,0,south west
2020-11-11,0,south central
2020-11-11,0,south east
2020-11-12,0,far north west
2020-11-12,0,far north central
2020-11-12,0,far north east
2020-11-12,0,north west
2020-11-12,0,north central
2020-11-12,0,north east
2020-11-12,0,saskatoon
2020-11-12,0,central west
2020-11-12,0,central east
2020-11-12,0,regina
2020-11-12,0,south west
2020-11-12,0,south central
2020-11-12,0,south east
2020-11-13,0,far north west
2020-11-13,0,far north central
2020-11-13,0,far north east
2020-11-13,0,north west
2020-11-13,0,north central
2020-11-13,0,north east
2020-11-13,0,saskatoon
2020-11-13,0,central west
2020-11-13,0,central east
2020-11-13,0,regina
2020-11-13,0,south west
2020-11-13,0,south central
2020-11-13,0,south east
2020-11-14,0,far north west
2020-11-14,0,far north central
2020-11-14,0,far north east
2020-11-14,0,north west
2020-11-14,0,north central
2020-11-14,0,north east
2020-11-14,0,saskatoon
2020-11-14,0,central west
2020-11-14,0,central east
2020-11-14,0,regina
2020-11-14,0,south west
2020-11-14,0,south central
2020-11-14,0,south east
2020-11-15,0,far north west
2020-11-15,0,far north central
2020-11-15,0,far north east
2020-11-15,0,north west
2020-11-15,0,north central
2020-11-15,0,north east
2020-11-15,0,saskatoon
2020-11-15,0,central west
2020-11-15,0,central east
2020-11-15,0,regina
2020-11-15,0,south west
2020-11-15,0,south central
2020-11-15,0,south east
2020-11-16,0,far north west
2020-11-16,0,far north central
2020-11-16,0,far north east
2020-11-16,0,north west
2020-11-16,0,north central
2020-11-16,0,north east
2020-11-16,0,saskatoon
2020-11-16,0,central west
2020-11-16,0,central east
2020-11-16,0,regina
2020-11-16,0,south west
2020-11-16,0,south central
2020-11-16,0,south east
2020-11-17,0,far north west
2020-11-17,0,far north central
2020-11-17,0,far north east
2020-11-17,0,north west
2020-11-17,0,north central
2020-11-17,0,north east
2020-11-17,0,saskatoon
2020-11-17,0,central west
2020-11-17,0,central east
2020-11-17,0,regina
2020-11-17,0,south west
2020-11-17,0,south central
2020-11-17,0,south east
2020-11-18,0,far north west
2020-11-18,0,far north central
2020-11-18,0,far north east
2020-11-18,0,north west
2020-11-18,0,north central
2020-11-18,0,north east
2020-11-18,0,saskatoon
2020-11-18,0,central west
2020-11-18,0,central east
2020-11-18,0,regina
2020-11-18,0,south west
2020-11-18,0,south central
2020-11-18,0,south east
2020-11-19,0,far north west
2020-11-19,0,far north central
2020-11-19,0,far north east
2020-11-19,0,north west
2020-11-19,0,north central
2020-11-19,0,north east
2020-11-19,0,saskatoon
2020-11-19,0,central west
2020-11-19,0,central east
2020-11-19,0,regina
2020-11-19,0,south west
2020-11-19,0,south central
2020-11-19,0,south east
2020-11-20,0,far north west
2020-11-20,0,far north central
2020-11-20,0,far north east
2020-11-20,0,north west
2020-11-20,0,north central
2020-11-20,0,north east
2020-11-20,0,saskatoon
2020-11-20,0,central west
2020-11-20,0,central east
2020-11-20,0,regina
2020-11-20,0,south west
2020-11-20,0,south central
2020-11-20,0,south east
2020-11-21,0,far north west
2020-11-21,0,far north central
2020-11-21,0,far north east
2020-11-21,0,north west
2020-11-21,0,north central
2020-11-21,0,north east
2020-11-21,0,saskatoon
2020-11-21,0,central west
2020-11-21,0,central east
2020-11-21,0,regina
2020-11-21,0,south west
2020-11-21,0,south central
2020-11-21,0,south east
2020-11-22,0,far north west
2020-11-22,0,far north central
2020-11-22,0,far north east
2020-11-22,0,north west
2020-11-22,0,north central
2020-11-22,0,north east
2020-11-22,0,saskatoon
2020-11-22,0,central west
2020-11-22,0,central east
2020-11-22,0,regina
2020-11-22,0,south west
2020-11-22,0,south central
2020-11-22,0,south east
2020-11-23,0,far north west
2020-11-23,0,far north central
2020-11-23,0,far north east
2020-11-23,0,north west
2020-11-23,0,north central
2020-11-23,0,north east
2020-11-23,0,saskatoon
2020-11-23,0,central west
2020-11-23,0,central east
2020-11-23,0,regina
2020-11-23,0,south west
2020-11-23,0,south central
2020-11-23,0,south east
2020-11-24,0,far north west
2020-11-24,0,far north central
2020-11-24,0,far north east
2020-11-24,0,north west
2020-11-24,0,north central
2020-11-24,0,north east
2020-11-24,0,saskatoon
2020-11-24,0,central west
2020-11-24,0,central east
2020-11-24,0,regina
2020-11-24,0,south west
2020-11-24,0,south central
2020-11-24,0,south east
2020-11-25,0,far north west
2020-11-25,0,far north central
2020-11-25,0,far north east
2020-11-25,0,north west
2020-11-25,0,north central
2020-11-25,0,north east
2020-11-25,0,saskatoon
2020-11-25,0,central west
2020-11-25,0,central east
2020-11-25,0,regina
2020-11-25,0,south west
2020-11-25,0,south central
2020-11-25,0,south east
2020-11-26,0,far north west
2020-11-26,0,far north central
2020-11-26,0,far north east
2020-11-26,0,north west
2020-11-26,0,north central
2020-11-26,0,north east
2020-11-26,0,saskatoon
2020-11-26,0,central west
2020-11-26,0,central east
2020-11-26,0,regina
2020-11-26,0,south west
2020-11-26,0,south central
2020-11-26,0,south east
2020-11-27,0,far north west
2020-11-27,0,far north central
2020-11-27,0,far north east
2020-11-27,0,north west
2020-11-27,0,north central
2020-11-27,0,north east
2020-11-27,0,saskatoon
2020-11-27,0,central west
2020-11-27,0,central east
2020-11-27,0,regina
2020-11-27,0,south west
2020-11-27,0,south central
2020-11-27,0,south east
2020-11-28,0,far north west
2020-11-28,0,far north central
2020-11-28,0,far north east
2020-11-28,0,north west
2020-11-28,0,north central
2020-11-28,0,north east
2020-11-28,0,saskatoon
2020-11-28,0,central west
2020-11-28,0,central east
2020-11-28,0,regina
2020-11-28,0,south west
2020-11-28,0,south central
2020-11-28,0,south east
2020-11-29,0,far north west
2020-11-29,0,far north central
2020-11-29,0,far north east
2020-11-29,0,north west
2020-11-29,0,north central
2020-11-29,0,north east
2020-11-29,0,saskatoon
2020-11-29,0,central west
2020-11-29,0,central east
2020-11-29,0,regina
2020-11-29,0,south west
2020-11-29,0,south central
2020-11-29,0,south east
2020-11-30,0,far north west
2020-11-30,0,far north central
2020-11-30,0,far north east
2020-11-30,0,north west
2020-11-30,0,north central
2020-11-30,0,north east
2020-11-30,0,saskatoon
2020-11-30,0,central west
2020-11-30,0,central east
2020-11-30,0,regina
2020-11-30,0,south west
2020-11-30,0,south central
2020-11-30,0,south east
2020-12-01,0,far north west
2020-12-01,0,far north central
2020-12-01,0,far north east
2020-12-01,0,north west
2020-12-01,0,north central
2020-12-01,0,north east
2020-12-01,0,saskatoon
2020-12-01,0,central west
2020-12-01,0,central east
2020-12-01,0,regina
2020-12-01,0,south west
2020-12-01,0,south central
2020-12-01,0,south east
2020-12-02,0,far north west
2020-12-02,0,far north central
2020-12-02,0,far north east
2020-12-02,0,north west
2020-12-02,0,north central
2020-12-02,0,north east
2020-12-02,0,saskatoon
2020-12-02,0,central west
2020-12-02,0,central east
2020-12-02,0,regina
2020-12-02,0,south west
2020-12-02,0,south central
2020-12-02,0,south east
2020-12-03,0,far north west
2020-12-03,0,far north central
2020-12-03,0,far north east
2020-12-03,0,north west
2020-12-03,0,north central
2020-12-03,0,north east
2020-12-03,0,saskatoon
2020-12-03,0,central west
2020-12-03,0,central east
2020-12-03,0,regina
2020-12-03,0,south west
2020-12-03,0,south central
2020-12-03,0,south east
2020-12-04,0,far north west
2020-12-04,0,far north central
2020-12-04,0,far north east
2020-12-04,0,north west
2020-12-04,0,north central
2020-12-04,0,north east
2020-12-04,0,saskatoon
2020-12-04,0,central west
2020-12-04,0,central east
2020-12-04,0,regina
2020-12-04,0,south west
2020-12-04,0,south central
2020-12-04,0,south east
2020-12-05,0,far north west
2020-12-05,0,far north central
2020-12-05,0,far north east
2020-12-05,0,north west
2020-12-05,0,north central
2020-12-05,0,north east
2020-12-05,0,saskatoon
2020-12-05,0,central west
2020-12-05,0,central east
2020-12-05,0,regina
2020-12-05,0,south west
2020-12-05,0,south central
2020-12-05,0,south east
2020-12-06,0,far north west
2020-12-06,0,far north central
2020-12-06,0,far north east
2020-12-06,0,north west
2020-12-06,0,north central
2020-12-06,0,north east
2020-12-06,0,saskatoon
2020-12-06,0,central west
2020-12-06,0,central east
2020-12-06,0,regina
2020-12-06,0,south west
2020-12-06,0,south central
2020-12-06,0,south east
2020-12-07,0,far north west
2020-12-07,0,far north central
2020-12-07,0,far north east
2020-12-07,0,north west
2020-12-07,0,north central
2020-12-07,0,north east
2020-12-07,0,saskatoon
2020-12-07,0,central west
2020-12-07,0,central east
2020-12-07,0,regina
2020-12-07,0,south west
2020-12-07,0,south central
2020-12-07,0,south east
2020-12-08,0,far north west
2020-12-08,0,far north central
2020-12-08,0,far north east
2020-12-08,0,north west
2020-12-08,0,north central
2020-12-08,0,north east
2020-12-08,0,saskatoon
2020-12-08,0,central west
2020-12-08,0,central east
2020-12-08,0,regina
2020-12-08,0,south west
2020-12-08,0,south central
2020-12-08,0,south east
2020-12-09,0,far north west
2020-12-09,0,far north central
2020-12-09,0,far north east
2020-12-09,0,north west
2020-12-09,0,north central
2020-12-09,0,north east
2020-12-09,0,saskatoon
2020-12-09,0,central west
2020-12-09,0,central east
2020-12-09,0,regina
2020-12-09,0,south west
2020-12-09,0,south central
2020-12-09,0,south east
2020-12-10,0,far north west
2020-12-10,0,far north central
2020-12-10,0,far north east
2020-12-10,0,north west
2020-12-10,0,north central
2020-12-10,0,north east
2020-12-10,0,saskatoon
2020-12-10,0,central west
2020-12-10,0,central east
2020-12-10,0,regina
2020-12-10,0,south west
2020-12-10,0,south central
2020-12-10,0,south east
2020-12-11,0,far north west
2020-12-11,0,far north central
2020-12-11,0,far north east
2020-12-11,0,north west
2020-12-11,0,north central
2020-12-11,0,north east
2020-12-11,0,saskatoon
2020-12-11,0,central west
2020-12-11,0,central east
2020-12-11,0,regina
2020-12-11,0,south west
2020-12-11,0,south central
2020-12-11,0,south east
2020-12-12,0,far north west
2020-12-12,0,far north central
2020-12-12,0,far north east
2020-12-12,0,north west
2020-12-12,0,north central
